ID_Cliente,Nome_Cliente,Regiao
CLI0001,Cliente 1,Oeste
CLI0002,Cliente 2,Oeste
CLI0003,Cliente 3,Oeste
CLI0004,Cliente 4,Sul
CLI0005,Cliente 5,Sul
CLI0006,Cliente 6,Oeste
CLI0007,Cliente 7,Sul
CLI0008,Cliente 8,Norte
CLI0009,Cliente 9,Oeste
CLI0010,Cliente 10,Leste
CLI0011,Cliente 11,Sul
CLI0012,Cliente 12,Norte
CLI0013,Cliente 13,Norte
CLI0014,Cliente 14,Oeste
CLI0015,Cliente 15,Oeste
CLI0016,Cliente 16,Sul
CLI0017,Cliente 17,Norte
CLI0018,Cliente 18,Norte
CLI0019,Cliente 19,Norte
CLI0020,Cliente 20,Norte
CLI0021,Cliente 21,Sul
CLI0022,Cliente 22,Sul
CLI0023,Cliente 23,Norte
CLI0024,Cliente 24,Oeste
CLI0025,Cliente 25,Leste
CLI0026,Cliente 26,Oeste
CLI0027,Cliente 27,Sul
CLI0028,Cliente 28,Sul
CLI0029,Cliente 29,Leste
CLI0030,Cliente 30,Oeste
CLI0031,Cliente 31,Norte
CLI0032,Cliente 32,Norte
CLI0033,Cliente 33,Oeste
CLI0034,Cliente 34,Leste
CLI0035,Cliente 35,Oeste
CLI0036,Cliente 36,Norte
CLI0037,Cliente 37,Leste
CLI0038,Cliente 38,Leste
CLI0039,Cliente 39,Sul
CLI0040,Cliente 40,Leste
CLI0041,Cliente 41,Norte
CLI0042,Cliente 42,Norte
CLI0043,Cliente 43,Norte
CLI0044,Cliente 44,Oeste
CLI0045,Cliente 45,Norte
CLI0046,Cliente 46,Leste
CLI0047,Cliente 47,Oeste
CLI0048,Cliente 48,Norte
CLI0049,Cliente 49,Norte
CLI0050,Cliente 50,Norte
CLI0051,Cliente 51,Sul
CLI0052,Cliente 52,Sul
CLI0053,Cliente 53,Norte
CLI0054,Cliente 54,Oeste
CLI0055,Cliente 55,Oeste
CLI0056,Cliente 56,Oeste
CLI0057,Cliente 57,Oeste
CLI0058,Cliente 58,Norte
CLI0059,Cliente 59,Sul
CLI0060,Cliente 60,Leste
CLI0061,Cliente 61,Leste
CLI0062,Cliente 62,Norte
CLI0063,Cliente 63,Leste
CLI0064,Cliente 64,Leste
CLI0065,Cliente 65,Norte
CLI0066,Cliente 66,Oeste
CLI0067,Cliente 67,Norte
CLI0068,Cliente 68,Sul
CLI0069,Cliente 69,Sul
CLI0070,Cliente 70,Norte
CLI0071,Cliente 71,Norte
CLI0072,Cliente 72,Norte
CLI0073,Cliente 73,Oeste
CLI0074,Cliente 74,Oeste
CLI0075,Cliente 75,Sul
CLI0076,Cliente 76,Sul
CLI0077,Cliente 77,Oeste
CLI0078,Cliente 78,Sul
CLI0079,Cliente 79,Sul
CLI0080,Cliente 80,Oeste
CLI0081,Cliente 81,Oeste
CLI0082,Cliente 82,Norte
CLI0083,Cliente 83,Oeste
CLI0084,Cliente 84,Oeste
CLI0085,Cliente 85,Sul
CLI0086,Cliente 86,Norte
CLI0087,Cliente 87,Leste
CLI0088,Cliente 88,Leste
CLI0089,Cliente 89,Norte
CLI0090,Cliente 90,Sul
CLI0091,Cliente 91,Sul
CLI0092,Cliente 92,Oeste
CLI0093,Cliente 93,Norte
CLI0094,Cliente 94,Norte
CLI0095,Cliente 95,Sul
CLI0096,Cliente 96,Sul
CLI0097,Cliente 97,Oeste
CLI0098,Cliente 98,Leste
CLI0099,Cliente 99,Norte
CLI0100,Cliente 100,Leste
CLI0101,Cliente 101,Leste
CLI0102,Cliente 102,Oeste
CLI0103,Cliente 103,Norte
CLI0104,Cliente 104,Norte
CLI0105,Cliente 105,Norte
CLI0106,Cliente 106,Sul
CLI0107,Cliente 107,Sul
CLI0108,Cliente 108,Norte
CLI0109,Cliente 109,Leste
CLI0110,Cliente 110,Leste
CLI0111,Cliente 111,Oeste
CLI0112,Cliente 112,Sul
CLI0113,Cliente 113,Oeste
CLI0114,Cliente 114,Sul
CLI0115,Cliente 115,Oeste
CLI0116,Cliente 116,Sul
CLI0117,Cliente 117,Sul
CLI0118,Cliente 118,Leste
CLI0119,Cliente 119,Sul
CLI0120,Cliente 120,Sul
CLI0121,Cliente 121,Sul
CLI0122,Cliente 122,Sul
CLI0123,Cliente 123,Sul
CLI0124,Cliente 124,Oeste
CLI0125,Cliente 125,Oeste
CLI0126,Cliente 126,Norte
CLI0127,Cliente 127,Oeste
CLI0128,Cliente 128,Norte
CLI0129,Cliente 129,Norte
CLI0130,Cliente 130,Norte
CLI0131,Cliente 131,Norte
CLI0132,Cliente 132,Leste
CLI0133,Cliente 133,Sul
CLI0134,Cliente 134,Oeste
CLI0135,Cliente 135,Leste
CLI0136,Cliente 136,Oeste
CLI0137,Cliente 137,Oeste
CLI0138,Cliente 138,Leste
CLI0139,Cliente 139,Sul
CLI0140,Cliente 140,Norte
CLI0141,Cliente 141,Sul
CLI0142,Cliente 142,Sul
CLI0143,Cliente 143,Oeste
CLI0144,Cliente 144,Norte
CLI0145,Cliente 145,Leste
CLI0146,Cliente 146,Sul
CLI0147,Cliente 147,Sul
CLI0148,Cliente 148,Norte
CLI0149,Cliente 149,Norte
CLI0150,Cliente 150,Leste
CLI0151,Cliente 151,Oeste
CLI0152,Cliente 152,Oeste
CLI0153,Cliente 153,Sul
CLI0154,Cliente 154,Norte
CLI0155,Cliente 155,Norte
CLI0156,Cliente 156,Sul
CLI0157,Cliente 157,Leste
CLI0158,Cliente 158,Leste
CLI0159,Cliente 159,Sul
CLI0160,Cliente 160,Norte
CLI0161,Cliente 161,Leste
CLI0162,Cliente 162,Sul
CLI0163,Cliente 163,Oeste
CLI0164,Cliente 164,Leste
CLI0165,Cliente 165,Sul
CLI0166,Cliente 166,Norte
CLI0167,Cliente 167,Norte
CLI0168,Cliente 168,Oeste
CLI0169,Cliente 169,Leste
CLI0170,Cliente 170,Leste
CLI0171,Cliente 171,Norte
CLI0172,Cliente 172,Norte
CLI0173,Cliente 173,Norte
CLI0174,Cliente 174,Oeste
CLI0175,Cliente 175,Norte
CLI0176,Cliente 176,Leste
CLI0177,Cliente 177,Leste
CLI0178,Cliente 178,Sul
CLI0179,Cliente 179,Norte
CLI0180,Cliente 180,Norte
CLI0181,Cliente 181,Oeste
CLI0182,Cliente 182,Leste
CLI0183,Cliente 183,Norte
CLI0184,Cliente 184,Sul
CLI0185,Cliente 185,Leste
CLI0186,Cliente 186,Leste
CLI0187,Cliente 187,Norte
CLI0188,Cliente 188,Oeste
CLI0189,Cliente 189,Norte
CLI0190,Cliente 190,Oeste
CLI0191,Cliente 191,Norte
CLI0192,Cliente 192,Oeste
CLI0193,Cliente 193,Norte
CLI0194,Cliente 194,Oeste
CLI0195,Cliente 195,Oeste
CLI0196,Cliente 196,Norte
CLI0197,Cliente 197,Norte
CLI0198,Cliente 198,Norte
CLI0199,Cliente 199,Norte
CLI0200,Cliente 200,Norte
CLI0201,Cliente 201,Leste
CLI0202,Cliente 202,Oeste
CLI0203,Cliente 203,Leste
CLI0204,Cliente 204,Oeste
CLI0205,Cliente 205,Oeste
CLI0206,Cliente 206,Oeste
CLI0207,Cliente 207,Oeste
CLI0208,Cliente 208,Norte
CLI0209,Cliente 209,Norte
CLI0210,Cliente 210,Leste
CLI0211,Cliente 211,Norte
CLI0212,Cliente 212,Oeste
CLI0213,Cliente 213,Norte
CLI0214,Cliente 214,Sul
CLI0215,Cliente 215,Norte
CLI0216,Cliente 216,Oeste
CLI0217,Cliente 217,Oeste
CLI0218,Cliente 218,Leste
CLI0219,Cliente 219,Norte
CLI0220,Cliente 220,Leste
CLI0221,Cliente 221,Leste
CLI0222,Cliente 222,Sul
CLI0223,Cliente 223,Sul
CLI0224,Cliente 224,Sul
CLI0225,Cliente 225,Leste
CLI0226,Cliente 226,Oeste
CLI0227,Cliente 227,Oeste
CLI0228,Cliente 228,Sul
CLI0229,Cliente 229,Leste
CLI0230,Cliente 230,Oeste
CLI0231,Cliente 231,Leste
CLI0232,Cliente 232,Sul
CLI0233,Cliente 233,Oeste
CLI0234,Cliente 234,Sul
CLI0235,Cliente 235,Sul
CLI0236,Cliente 236,Oeste
CLI0237,Cliente 237,Sul
CLI0238,Cliente 238,Leste
CLI0239,Cliente 239,Sul
CLI0240,Cliente 240,Sul
CLI0241,Cliente 241,Sul
CLI0242,Cliente 242,Oeste
CLI0243,Cliente 243,Leste
CLI0244,Cliente 244,Norte
CLI0245,Cliente 245,Norte
CLI0246,Cliente 246,Leste
CLI0247,Cliente 247,Sul
CLI0248,Cliente 248,Norte
CLI0249,Cliente 249,Oeste
CLI0250,Cliente 250,Oeste
CLI0251,Cliente 251,Leste
CLI0252,Cliente 252,Sul
CLI0253,Cliente 253,Oeste
CLI0254,Cliente 254,Oeste
CLI0255,Cliente 255,Oeste
CLI0256,Cliente 256,Leste
CLI0257,Cliente 257,Oeste
CLI0258,Cliente 258,Leste
CLI0259,Cliente 259,Norte
CLI0260,Cliente 260,Norte
CLI0261,Cliente 261,Leste
CLI0262,Cliente 262,Norte
CLI0263,Cliente 263,Leste
CLI0264,Cliente 264,Leste
CLI0265,Cliente 265,Leste
CLI0266,Cliente 266,Norte
CLI0267,Cliente 267,Sul
CLI0268,Cliente 268,Oeste
CLI0269,Cliente 269,Oeste
CLI0270,Cliente 270,Sul
CLI0271,Cliente 271,Norte
CLI0272,Cliente 272,Leste
CLI0273,Cliente 273,Sul
