ID_Produto,Produto,Categoria
PRD0001,Produto 1,B
PRD0002,Produto 2,A
PRD0003,Produto 3,C
PRD0004,Produto 4,A
PRD0005,Produto 5,B
PRD0006,Produto 6,C
PRD0007,Produto 7,C
PRD0008,Produto 8,C
PRD0009,Produto 9,C
PRD0010,Produto 10,B
PRD0011,Produto 11,B
PRD0012,Produto 12,B
PRD0013,Produto 13,C
PRD0014,Produto 14,A
PRD0015,Produto 15,A
PRD0016,Produto 16,C
PRD0017,Produto 17,C
PRD0018,Produto 18,C
PRD0019,Produto 19,A
PRD0020,Produto 20,A
PRD0021,Produto 21,A
PRD0022,Produto 22,B
PRD0023,Produto 23,A
PRD0024,Produto 24,B
PRD0025,Produto 25,C
PRD0026,Produto 26,B
PRD0027,Produto 27,B
PRD0028,Produto 28,C
PRD0029,Produto 29,A
PRD0030,Produto 30,B
PRD0031,Produto 31,C
PRD0032,Produto 32,A
PRD0033,Produto 33,A
PRD0034,Produto 34,B
PRD0035,Produto 35,B
PRD0036,Produto 36,C
PRD0037,Produto 37,B
PRD0038,Produto 38,B
PRD0039,Produto 39,B
PRD0040,Produto 40,A
PRD0041,Produto 41,A
PRD0042,Produto 42,A
PRD0043,Produto 43,B
PRD0044,Produto 44,A
PRD0045,Produto 45,A
PRD0046,Produto 46,C
PRD0047,Produto 47,B
PRD0048,Produto 48,C
PRD0049,Produto 49,A
PRD0050,Produto 50,B
PRD0051,Produto 51,A
PRD0052,Produto 52,C
PRD0053,Produto 53,C
PRD0054,Produto 54,C
PRD0055,Produto 55,C
PRD0056,Produto 56,C
PRD0057,Produto 57,B
PRD0058,Produto 58,B
PRD0059,Produto 59,C
PRD0060,Produto 60,C
PRD0061,Produto 61,A
PRD0062,Produto 62,A
PRD0063,Produto 63,B
PRD0064,Produto 64,C
PRD0065,Produto 65,C
PRD0066,Produto 66,B
PRD0067,Produto 67,C
PRD0068,Produto 68,C
PRD0069,Produto 69,C
PRD0070,Produto 70,A
PRD0071,Produto 71,C
PRD0072,Produto 72,C
PRD0073,Produto 73,C
PRD0074,Produto 74,B
PRD0075,Produto 75,B
