Data,ID_Cliente,ID_Produto,ID_Vendedor,ID_CentroCusto,ID_Fornecedor,Documento,Valor,Tipo
2024-02-15,CLI0010,PRD0025,V007,CC10,,DOC100000,20503.26,Receita
2025-01-09,CLI0259,PRD0163,V025,CC06,,DOC100001,15133.28,Receita
2026-11-05,CLI0037,PRD0124,V004,CC01,FOR0005,DOC100002,22883.72,Despesa
2026-06-10,CLI0292,PRD0124,V005,CC04,FOR0024,DOC100003,3536.92,Despesa
2023-12-20,CLI0145,PRD0173,V004,CC10,FOR0008,DOC100004,4120.06,Despesa
2026-10-26,CLI0050,PRD0084,V013,CC08,FOR0055,DOC100005,15507.09,Despesa
2025-05-30,CLI0192,PRD0004,V021,CC01,,DOC100006,25343.46,Receita
2024-01-07,CLI0185,PRD0190,V012,CC07,,DOC100007,27663.69,Receita
2026-05-23,CLI0263,PRD0004,V011,CC02,,DOC100008,24071.01,Receita
2026-12-14,CLI0208,PRD0146,V020,CC04,FOR0065,DOC100009,17579.98,Despesa
2024-11-29,CLI0133,PRD0072,V030,CC02,FOR0096,DOC100010,22315.02,Despesa
2023-11-24,CLI0208,PRD0035,V029,CC06,FOR0069,DOC100011,20874.48,Despesa
2025-06-03,CLI0208,PRD0053,V024,CC03,FOR0010,DOC100012,23940.26,Despesa
2024-09-09,CLI0006,PRD0092,V021,CC10,FOR0007,DOC100013,7040.01,Despesa
2026-09-26,CLI0111,PRD0169,V013,CC10,,DOC100014,5540.64,Receita
2023-06-07,CLI0255,PRD0165,V007,CC02,,DOC100015,22876.02,Receita
2026-03-23,CLI0056,PRD0190,V008,CC05,,DOC100016,13365.03,Receita
2025-10-30,CLI0101,PRD0166,V013,CC01,,DOC100017,3043.63,Receita
2024-05-28,CLI0175,PRD0141,V018,CC09,,DOC100018,12529.05,Receita
2025-12-02,CLI0052,PRD0164,V015,CC02,FOR0071,DOC100019,17966.34,Despesa
2023-04-03,CLI0082,PRD0099,V016,CC03,,DOC100020,25684.6,Receita
2026-01-14,CLI0030,PRD0110,V016,CC07,FOR0037,DOC100021,15850.07,Despesa
